Data from measurements of pressure as function of volume of an unknown real (Van der Waals gas)
T = 273 K
n = 1 mol

V (L), P (bar)
7.000000000000000666e-02, 8.767018974439372414e+01
7.200000000000000844e-02, 7.173353958572715783e+01
7.300000000000000933e-02, 6.532325719394759744e+01
7.500000000000001110e-02, 5.497091796405106834e+01
7.600000000000001199e-02, 5.082355592899989460e+01
7.700000000000001288e-02, 4.724855271307603743e+01
7.800000000000001377e-02, 4.417506828171963207e+01
7.900000000000001465e-02, 4.154163748398843836e+01
8.000000000000001554e-02, 3.929478971336720861e+01
8.300000000000001821e-02, 3.443600517821164431e+01
8.600000000000002087e-02, 3.168957275949696850e+01
8.900000000000002354e-02, 3.038893530771554197e+01
1.010000000000000342e-01, 3.230839436767229245e+01
1.100000000000000422e-01, 3.629388640874537941e+01
1.190000000000000502e-01, 4.032679068221028729e+01
1.280000000000000582e-01, 4.383826586853979279e+01
1.360000000000000653e-01, 4.640557793030424705e+01
1.430000000000000715e-01, 4.823272505246353603e+01
1.500000000000000777e-01, 4.970374649316232762e+01
1.570000000000000839e-01, 5.085996474309322934e+01
1.650000000000000910e-01, 5.184919780355969010e+01
1.810000000000001052e-01, 5.298041751896322182e+01
1.970000000000001195e-01, 5.328379553763019771e+01
2.120000000000001328e-01, 5.305811230099432407e+01
2.280000000000001470e-01, 5.245356417375791125e+01
2.440000000000001612e-01, 5.160234821666232108e+01
2.680000000000001825e-01, 5.005420536105963691e+01
2.840000000000001967e-01, 4.892514357201537223e+01
3.000000000000002109e-01, 4.776257378118020114e+01
3.160000000000002252e-01, 4.659112601720615743e+01
3.290000000000002367e-01, 4.564459616145582999e+01
3.440000000000002500e-01, 4.456721970132876720e+01
3.580000000000002625e-01, 4.358161178533050872e+01
3.740000000000002767e-01, 4.248361204656217893e+01
3.900000000000002909e-01, 4.141922972340152143e+01
4.080000000000003069e-01, 4.026439317376050298e+01
4.230000000000003202e-01, 3.933730748785397680e+01
4.380000000000003335e-01, 3.844236361587797290e+01
4.530000000000003468e-01, 3.757919953496625709e+01
4.680000000000003602e-01, 3.674717224985170816e+01
4.830000000000003735e-01, 3.594544685544164508e+01
4.990000000000003877e-01, 3.512258803426534115e+01
