date,weekday,blocks,total_hours,main_focus,block_1,block_2,block_3,block_4,block_5,notes
2026-05-04,Monday,5,7.5,Sterrenstelsels,Sterrenstelsels - theory and core concepts,Sterrenstelsels - course exercises,Sterren en Planeten - theory,Sterrenstelsels - write summary,Sterrenstelsels - presentation slide draft,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-05,Tuesday,5,7.5,Sterrenstelsels,Sterrenstelsels - theory and core concepts,Sterrenstelsels - course exercises,Sterren en Planeten - theory,Sterrenstelsels - write summary,Sterrenstelsels - presentation slide draft,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-06,Wednesday,5,7.5,Sterrenstelsels,Sterrenstelsels - theory and core concepts,Sterrenstelsels - course exercises,Sterren en Planeten - theory,Sterrenstelsels - write summary,Sterrenstelsels - presentation slide draft,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-07,Thursday,5,7.5,Sterrenstelsels,Sterrenstelsels - theory and core concepts,Sterrenstelsels - course exercises,Sterren en Planeten - theory,Sterrenstelsels - write summary,Sterrenstelsels - presentation slide draft,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-08,Friday,5,7.5,Sterrenstelsels,Sterrenstelsels - theory and core concepts,Sterrenstelsels - course exercises,Sterren en Planeten - theory,Sterrenstelsels - write summary,Sterrenstelsels - presentation slide draft,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-09,Saturday,4,6.0,Sterrenstelsels,Sterrenstelsels - practice questions,Sterren en Planeten - basic questions,Sterrenstelsels - presentation structure and sources,Sterrenstelsels - review block,,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-10,Sunday,4,6.0,Sterrenstelsels,Sterrenstelsels - practice questions,Sterren en Planeten - basic questions,Sterrenstelsels - presentation structure and sources,Sterrenstelsels - review block,,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-11,Monday,5,7.5,Sterrenstelsels,Sterrenstelsels - theory and core concepts,Sterrenstelsels - course exercises,Sterren en Planeten - theory,Sterrenstelsels - write summary,Sterrenstelsels - presentation slide draft,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-12,Tuesday,5,7.5,Sterrenstelsels,Sterrenstelsels - theory and core concepts,Sterrenstelsels - course exercises,Sterren en Planeten - theory,Sterrenstelsels - write summary,Sterrenstelsels - presentation slide draft,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-13,Wednesday,5,7.5,Sterrenstelsels,Sterrenstelsels - theory and core concepts,Sterrenstelsels - course exercises,Sterren en Planeten - theory,Sterrenstelsels - write summary,Sterrenstelsels - presentation slide draft,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
